,IMO,start_port,start_country,start_lon,start_lat,end_port,end_country,end_lon,end_lat,route,aux,CO2_kg,start,end,av_speed
677,9780483,algeciras,ESP,-5.417815917,36.14129331,qingdao gang,CHN,120.266667,36.033333,algeciras - qingdao gang,7,10739757.76078973,2019-11-10 19:00:00,2019-12-12 22:00:00,12.764739594067521
678,9780483,felixstowe,GBR,1.310523163,51.95355967,algeciras,ESP,-5.417815917,36.14129331,felixstowe - algeciras,5,33805382.19355688,2019-08-06 00:00:00,2019-11-09 10:00:00,11.215162431145828
679,9780483,felixstowe,GBR,1.310523163,51.95355967,felixstowe,GBR,1.310523163,51.95355967,felixstowe - felixstowe,0,32763182.79651067,2019-02-25 04:00:00,2019-05-13 08:00:00,12.680664900125482
680,9780483,felixstowe,GBR,1.310523163,51.95355967,felixstowe,GBR,1.310523163,51.95355967,felixstowe - felixstowe,4,68133.912,2019-08-04 04:00:00,2019-08-05 23:00:00,0.010395095100977447
681,9780483,felixstowe,GBR,1.310523163,51.95355967,malta freeport,MLT,14.54128386,35.82611111,felixstowe - malta freeport,1,25116658.420317423,2019-05-13 09:00:00,2019-07-26 15:00:00,11.704633574442601
682,9780483,malta freeport,MLT,14.54128386,35.82611111,felixstowe,GBR,1.310523163,51.95355967,malta freeport - felixstowe,3,3543806.337047005,2019-07-26 21:00:00,2019-08-04 03:00:00,12.727254608171668
683,9780483,malta freeport,MLT,14.54128386,35.82611111,malta freeport,MLT,14.54128386,35.82611111,malta freeport - malta freeport,2,9373.5425,2019-07-26 16:00:00,2019-07-26 20:00:00,0.00166666666666666
684,9783459,butzfleth,DEU,9.516667,53.65,perama,GRC,23.58601195,37.96036859,butzfleth - perama,7,22110854.227345366,2019-06-13 12:00:00,2019-08-19 04:00:00,12.700073953223676
685,9783459,butzfleth,DEU,9.516667,53.65,perama,GRC,23.58601195,37.96036859,butzfleth - perama,11,20764310.20997539,2019-08-31 22:00:00,2019-11-04 22:00:00,13.006122185398569
686,9783459,finkenwerder,DEU,9.866782251,53.53805439,butzfleth,DEU,9.516667,53.65,finkenwerder - butzfleth,10,93525.10501845341,2019-08-29 15:00:00,2019-08-31 21:00:00,0.4173939393939395
687,9783459,finkenwerder,DEU,9.866782251,53.53805439,qingdao gang,CHN,120.266667,36.033333,finkenwerder - qingdao gang,2,12886903.676844299,2019-03-31 17:00:00,2019-05-08 11:00:00,13.391432240868998
688,9783459,perama,GRC,23.58601195,37.96036859,butzfleth,DEU,9.516667,53.65,perama - butzfleth,6,3399297.457763771,2019-06-04 11:00:00,2019-06-13 11:00:00,14.432345631419208
689,9783459,perama,GRC,23.58601195,37.96036859,elbeharbour,DEU,9.171790342,53.88944444,perama - elbeharbour,13,3540507.2873740005,2019-11-06 04:00:00,2019-11-14 13:00:00,15.375071405819721
690,9783459,perama,GRC,23.58601195,37.96036859,finkenwerder,DEU,9.866782251,53.53805439,perama - finkenwerder,1,3596077.683114065,2019-03-19 13:00:00,2019-03-31 16:00:00,10.83751499563712
691,9783459,perama,GRC,23.58601195,37.96036859,finkenwerder,DEU,9.866782251,53.53805439,perama - finkenwerder,9,3341508.98333322,2019-08-20 11:00:00,2019-08-29 14:00:00,14.30071459471118
692,9783459,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,0,48003.438,2019-03-18 06:00:00,2019-03-19 12:00:00,0.0016129032258064516
693,9783459,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,5,46454.94,2019-06-03 05:00:00,2019-06-04 10:00:00,0.0016666666666666668
694,9783459,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,8,46454.94,2019-08-19 05:00:00,2019-08-20 10:00:00,0.0
695,9783459,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,12,44906.442,2019-11-04 23:00:00,2019-11-06 03:00:00,0.0
696,9783459,qingdao gang,CHN,120.266667,36.033333,perama,GRC,23.58601195,37.96036859,qingdao gang - perama,4,8033362.824821511,2019-05-09 18:00:00,2019-06-03 04:00:00,13.91251219149325
697,9783459,qingdao gang,CHN,120.266667,36.033333,qingdao gang,CHN,120.266667,36.033333,qingdao gang - qingdao gang,3,50409.432,2019-05-08 12:00:00,2019-05-09 17:00:00,0.4487999144190896
698,9783461,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,0,53673409.83727843,2019-02-12 14:00:00,2019-07-16 19:00:00,12.64985329917006
699,9783461,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,3,25338987.43059111,2019-09-30 05:00:00,2019-12-16 03:00:00,12.799687466988404
700,9783461,perama,GRC,23.58601195,37.96036859,pulau sebarok,SGP,103.8,1.2,perama - pulau sebarok,1,19222740.994066082,2019-07-16 20:00:00,2019-09-16 21:00:00,12.07753353926316
701,9783461,pulau sebarok,SGP,103.8,1.2,perama,GRC,23.58601195,37.96036859,pulau sebarok - perama,2,6242455.695567806,2019-09-16 22:00:00,2019-09-30 04:00:00,17.416622432133945
702,9783473,finkenwerder,DEU,9.866782251,53.53805439,reimerswaal,NLD,4.009277344,51.43969727,finkenwerder - reimerswaal,8,391184.1346288074,2019-09-26 12:00:00,2019-09-30 15:00:00,4.044067568542568
703,9783473,perama,GRC,23.58601195,37.96036859,finkenwerder,DEU,9.866782251,53.53805439,perama - finkenwerder,7,3281455.991191256,2019-09-17 10:00:00,2019-09-26 11:00:00,14.3915114079539
704,9783473,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,0,75876.402,2019-01-28 07:00:00,2019-01-30 07:00:00,0.0010204081632653062
705,9783473,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,3,25469986.116096303,2019-04-15 05:00:00,2019-07-02 17:00:00,12.456425472058372
706,9783473,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,6,44906.442,2019-09-16 05:00:00,2019-09-17 09:00:00,0.0
707,9783473,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,10,55745.928,2019-12-02 07:00:00,2019-12-03 18:00:00,0.0
708,9783473,perama,GRC,23.58601195,37.96036859,qingdao gang,CHN,120.266667,36.033333,perama - qingdao gang,1,16972828.49525128,2019-01-30 08:00:00,2019-03-20 12:00:00,12.933898148876432
709,9783473,perama,GRC,23.58601195,37.96036859,qingdao gang,CHN,120.266667,36.033333,perama - qingdao gang,4,15515635.873209694,2019-07-02 18:00:00,2019-08-21 20:00:00,12.721894918766628
710,9783473,qingdao gang,CHN,120.266667,36.033333,perama,GRC,23.58601195,37.96036859,qingdao gang - perama,2,8314463.572790992,2019-03-20 13:00:00,2019-04-15 04:00:00,13.266158849227434
711,9783473,qingdao gang,CHN,120.266667,36.033333,perama,GRC,23.58601195,37.96036859,qingdao gang - perama,5,8495925.495613193,2019-08-21 21:00:00,2019-09-16 04:00:00,13.400378610615913
712,9783473,reimerswaal,NLD,4.009277344,51.43969727,perama,GRC,23.58601195,37.96036859,reimerswaal - perama,9,21004588.92503253,2019-09-30 16:00:00,2019-12-02 06:00:00,13.276371583885059
713,9783502,butzfleth,DEU,9.516667,53.65,hontenisse,NLD,4.089294434,51.36309814,butzfleth - hontenisse,9,350710.6482996315,2019-09-07 22:00:00,2019-09-11 09:00:00,4.670180821510708
714,9783502,finkenwerder,DEU,9.866782251,53.53805439,reimerswaal,NLD,4.009277344,51.43969727,finkenwerder - reimerswaal,2,324879.65922330227,2019-01-17 22:00:00,2019-01-21 09:00:00,4.622100382888196
715,9783502,hontenisse,NLD,4.089294434,51.36309814,perama,GRC,23.58601195,37.96036859,hontenisse - perama,10,19930918.610107493,2019-09-11 10:00:00,2019-11-10 05:00:00,13.823050687832525
716,9783502,perama,GRC,23.58601195,37.96036859,butzfleth,DEU,9.516667,53.65,perama - butzfleth,8,3385808.7543495116,2019-08-27 13:00:00,2019-09-07 21:00:00,11.622041778365038
717,9783502,perama,GRC,23.58601195,37.96036859,finkenwerder,DEU,9.866782251,53.53805439,perama - finkenwerder,1,3079029.4713332504,2019-01-08 15:00:00,2019-01-17 21:00:00,14.054170189637068
718,9783502,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,0,49551.936,2019-01-07 07:00:00,2019-01-08 14:00:00,0.0
719,9783502,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,4,44906.442,2019-03-25 07:00:00,2019-03-26 11:00:00,0.0
720,9783502,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,7,24129864.455805432,2019-06-10 15:00:00,2019-08-27 12:00:00,12.532772002390239
721,9783502,perama,GRC,23.58601195,37.96036859,perama,GRC,23.58601195,37.96036859,perama - perama,11,86715.888,2019-11-10 06:00:00,2019-11-12 13:00:00,0.0
722,9783502,perama,GRC,23.58601195,37.96036859,qingdao gang,CHN,120.266667,36.033333,perama - qingdao gang,5,16077373.199416665,2019-03-26 12:00:00,2019-05-15 00:00:00,12.862815050483503
723,9783502,perama,GRC,23.58601195,37.96036859,reimerswaal,NLD,4.009277344,51.43969727,perama - reimerswaal,12,3596992.1634857715,2019-11-12 14:00:00,2019-11-25 02:00:00,11.706592903516961
