PORT_NAME,CNTR_CODE3,LONGITUDE,LATITUDE,Port Name Lower,Main Port Name,Country Code,Latitude,Longitude,_merge,lon diff,lat diff,position diff,Country Code 3
SENDAI,JPN,141.005573,38.274508,sendai,,,,,left_only,10.605572999999993,-4.058825000000006,14.664397999999998,
,ITA,13.221,43.724,senigallia,Senigallia,Italy,43.724,13.221,right_only,-127.812333,5.407332999999994,133.219666,ITA
SENIPAH OIL TERMINAL,IDN,117.166667,-0.95,senipah oil terminal,Senipah Oil Terminal,Indonesia,-0.95,117.166667,both,103.945667,-44.674,148.619667,IDN
SENIPAH TERMINAL,IDN,117.2166667,-1.05,senipah terminal,,,,,left_only,0.04999970000000076,-0.10000000000000009,0.14999970000000085,
SENJ,HRV,14.8997,44.988934,senj,Senj,Croatia,44.983333,14.9,both,-102.31696670000001,46.038934,148.3559007,HRV
SENZAKI,JPN,131.2057,34.393634,senzaki,,,,,left_only,116.30600000000001,-10.595300000000002,126.90130000000002,
SEPETIBA TERMINAL,BRA,-44.03333333,-23.01027778,sepetiba terminal,,,,,left_only,-175.23903333,-57.40391178,232.64294511000003,
SEPT ILES,CAN,-66.383333,50.2,sept iles,Sept Iles,Canada,50.2,-66.383333,both,-22.349999669999995,73.21027778,95.56027745,CAN
SERANGOON HARBOR,SGP,103.95,1.4,serangoon harbor,Serangoon Harbor,Singapore,1.4,103.95,both,170.313,-48.784034,219.09703399999998,SGP
SERIA,BRN,114.3161011,4.617919922,seria,,,,,left_only,10.366101099999995,3.2179199219999997,13.584021021999995,
SERINAM,MDG,44.68411267,-19.7085196,serinam,,,,,left_only,-69.63255433,-24.3251866,93.95774093,
SERIPHOS (SERIFOS),GRC,24.507246,37.155178,seriphos (serifos),,,,,left_only,-20.17686667,56.863697599999995,77.04056426999999,
SERPENTINA TERMINAL,GNQ,8.066667,3.8,serpentina terminal,Serpentina Terminal,Equatorial Guinea,3.8,8.083333,both,-16.440579,-33.355178,49.795757,GNQ
SERUI,IDN,136.25,-1.9,serui,Serui,Indonesia,-1.9,136.25,both,128.183333,-5.699999999999999,133.883333,IDN
SESIMBRA,PRT,-9.11501772,38.43730429,sesimbra,,,,,left_only,-145.36501772,40.33730429,185.70232201,
SETE,FRA,3.714559573,43.40693513,sete,Sete,France,43.4,3.7,both,12.829577293,4.969630840000001,17.799208133,FRA
